OBJECTID,CSA_Label,Total_Unsheltered_Pop,Total_Sheltered_Pop,Total_Pop,Data_Source,Square_Miles,Density_Unsheltered,Density_Sheltered,Density_Total,Shape__Area,Shape__Length
192,Los Angeles - Temple-Beaudry,383,0,383,Los Angeles Homeless Services Authority (LAHSA),1.45437853325782,263.342720785404,0,263.342720785404,5503610.61328125,19274.8624491955
193,Los Angeles - Thai Town,39,0,39,Los Angeles Homeless Services Authority (LAHSA),0.219313100997575,177.82795383679,0,177.82795383679,830536.62890625,3896.42166281906
194,Los Angeles - Toluca Lake,46,0,46,Los Angeles Homeless Services Authority (LAHSA),0.887069434884054,51.8561436016703,0,51.8561436016703,3363165.31640625,9137.10947305899
195,Los Angeles - Toluca Woods,4,0,4,Los Angeles Homeless Services Authority (LAHSA),0.394818584322261,10.1312353542484,0,10.1312353542484,1497166.05078125,5458.59844672614
196,Los Angeles - Tujunga,61,0,61,Los Angeles Homeless Services Authority (LAHSA),5.41492020773452,11.2651706137552,0,11.2651706137552,20579125.3789063,26360.0418556902
197,Los Angeles - University Hills,20,0,20,Los Angeles Homeless Services Authority (LAHSA),0.654338310594716,30.5652285311284,0,30.5652285311284,2475934.296875,7837.14027439309
198,Los Angeles - University Park,132,175,307,Los Angeles Homeless Services Authority (LAHSA),1.19131134173887,110.802269209768,146.89694781598,257.699217025748,4503550.3046875,10940.2570626222
199,Los Angeles - Valley Glen,29,0,29,Los Angeles Homeless Services Authority (LAHSA),1.91581949268481,15.1371254498302,0,15.1371254498302,7269442.55859375,14896.3713419846
200,Los Angeles - Valley Village,69,0,69,Los Angeles Homeless Services Authority (LAHSA),1.7769367921578,38.8308691139265,0,38.8308691139265,6739298.65234375,11079.5917436133
201,Los Angeles - Van Nuys,459,90,549,Los Angeles Homeless Services Authority (LAHSA),7.53214672851983,60.9388022490369,11.9487847547131,72.88758700375,28591965.8710938,29922.8248759653
202,Los Angeles - Venice,1660,16,1676,Los Angeles Homeless Services Authority (LAHSA),2.77871169092903,597.399149188089,5.7580640885599,603.157213276649,10495889.8007813,15685.4504964131
203,Los Angeles - Vermont Knolls,148,751,899,Los Angeles Homeless Services Authority (LAHSA),1.06448304483603,139.034624100375,705.506774995822,844.541399096196,4018381.3828125,9391.10039501709
204,Los Angeles - Vermont Square,54,65,119,Los Angeles Homeless Services Authority (LAHSA),0.444687462381899,121.43360127753,146.170075611841,267.603676889371,1679921.1875,5216.9787554552
205,Los Angeles - Vermont Vista,523,219,742,Los Angeles Homeless Services Authority (LAHSA),1.90828336924965,274.068311042111,114.762830053962,388.831141096073,7201347.6875,13913.4740506205
